username,time,content
h***酱,2018-04-21 16:59:11,很喜欢 很有意境
t***2,2017-05-18 08:02:18,对方收到了 说很喜欢
又***冬,2018-04-09 17:34:09,物流快，包装也大气，喜欢～
w***y,2017-06-07 09:37:17,特别美丽，看着这个小物件儿，能发呆好一会，喜欢?
薄***菇,2017-05-11 12:37:29,很精致很好看
波***狮,2017-11-18 00:17:27,很美
王***子,2018-02-22 23:10:51,此用户没有填写评论!
s***1,2017-06-29 09:05:25,故宫出品必是精品
c***o,2018-01-30 19:44:16,精致
虎***甲,2018-03-23 16:16:02,精致美观小贵
木***c,2016-12-23 16:37:43,很美
欢***凯,2017-02-10 17:11:39,很好。
拉***米,2017-12-09 14:45:09,据说很精致。
恻***听,2018-04-03 09:57:08,非常有创意的一款产品，设计精美、漂亮。
米***诺,2018-03-07 12:57:35,好看的 物流也很快 特别美丽 一花一世界 寓意也好
小***光,2017-11-23 14:57:04,喜欢了！特别精美！准备送我爹了！
云***子,2018-03-14 12:42:11,多用途，非常漂亮，适合买来送给小姑娘
x***9,2018-04-01 17:39:26,此用户没有填写评论!
z***y,2017-11-22 20:00:00,双十一折扣挺优惠。做为礼品送人很好！
乐***8,2017-12-20 18:28:37,精致
向***敏,2017-11-21 09:58:23,故宫出品，确实精品。很精致。
三***安,2018-03-26 16:46:00,很精美
c***9,2018-01-31 00:08:07,很漂亮的书签，和想象中一模一样！
s***8,2017-02-17 18:50:57,很美，不舍得拆~
i***i,2017-05-28 20:25:44,此用户没有填写评论!
幻***月,2018-03-12 20:02:18,东西好精致，有点不忍心用了。
t***6,2018-03-14 15:30:56,超级棒≧?≦可以一物三用~造型很漂亮~
e***n,2018-01-15 13:52:08,好
粉***子,2017-12-09 21:25:47,这个真没拍的好看
倾***4,2018-01-09 09:28:09,很漂亮
t***神,2017-09-15 19:12:46,东西比较简单，包装也简单，不过看着还可以
j***2,2017-09-11 20:01:54,送人的，很好
张***t,2017-06-22 17:39:27,精美
m***菜,2017-12-20 15:16:02,好没有分量，幸好颜值够了
p***t,2018-03-01 21:47:09,这个做工很精致的，最后使用下来还是点烛台比较好看！
t***9,2017-12-05 15:34:51,好评
s***e,2017-11-17 15:12:39,精致
z***l,2017-08-23 16:35:43,很漂亮，比想象的大，舍不得拆&hellip;
l***p,2017-10-14 15:56:03,好看
c***5,2017-05-18 01:14:08,就俩字&ldquo;好看&rdquo;！
白***裙,2017-11-20 10:44:27,漂亮?
小***0,2018-01-16 22:54:19,物流太差劲，服了，送好几天不送
i***8,2018-03-28 15:36:06,买个朋友作为生日礼物，美美哒
m***熊,2017-02-06 16:06:29,好看，很漂亮
m***c,2017-06-19 18:44:29,谢谢，发货及时，送给老外的礼品
i***g,2016-12-28 12:49:18,颜色和想象中不一样，可惜了
y***y,2017-06-01 21:02:40,真的很惊艳！故宫团队迷妹一枚！最喜欢这种兼具创意、美丽、与意义的物品了！！！
天***夜,2017-06-13 17:20:34,物流很快，东西很有质感，价格有点小贵
龟***力,2017-12-21 10:10:16,包装破了&hellip;拿来送人的，哎。
e***s,2017-12-12 13:45:18,挺好的  挺好看   不過未拆封的時候   香插在裡面沒有固定好   經常晃來晃去   送人有點尷尬
g***5,2017-11-19 19:56:47,东西挺好的，快递也很好，只是双十一那天看满399或者前多少名有赠品小本子，一单一千多，结果到货也没有，不开心
开***8,2017-11-29 22:29:37,包装简单了点，但东西本身还是很精美的，好评！
王***s,2017-11-22 07:48:47,很漂亮
h***2,2017-01-09 18:44:40,跟预想的一样，基本上都很满意
悠***o,2017-05-05 19:46:41,很精致，喜欢
我***耀,2018-01-21 00:01:55,包装有些简单，样子还可以
y***y,2017-06-21 20:00:12,强推中国风的美物 实用又美丽 这就是国人应该有的生活品质
喵***鱼,2018-06-15 21:57:53,挺好的，包装还有说明
m***9,2016-12-18 15:02:45,很好看。
徐***涵,2016-12-30 08:53:02,带文化的物品精致文艺颜值高，实用性稍弱，小贵。和之前买的抄经本一套送人的话是不错的礼物。
喜***3,2017-04-25 11:08:43,东西看起来很精致，包装略显粗糙，快递公司太搞笑了，竟然送到其他城市再转回来，无语
笑***1,2017-11-29 17:17:34,香插很好，很有设计感。不过包装的盒子真心不怎么好，表面已经被磨蹭模糊了，看里面都看不清楚。送人送得比较尴尬。。
x***6,2018-03-27 20:49:29,好看
兔***力,2017-10-28 10:14:29,超乎想象！ 体积比照片看起来大多了，而且拆包裹是时候，传来了宫里的香味！这次买了三个东西我还不知道具体是谁在发 香气。
孩***f,2017-11-22 06:55:30,好看哈哈哈哈
n***h,2018-01-11 13:37:20,好看哦！
b***e,2017-04-24 10:49:00,非常非常精美，非常喜欢
韩***薇,2017-03-30 11:18:06,很漂亮！
z***8,2018-03-08 10:23:43,很好
m***淘,2017-10-18 03:59:01,挺精巧的
天***脉,2017-12-04 22:52:43,好看
t***1,2018-04-04 11:25:19,香插挺好的
a***2,2016-12-21 23:22:53,美的不要不要的
道***哒,2017-05-01 04:06:00,超好看的！！！
d***7,2017-07-03 12:15:30,精致好看，用来送人的
h***t,2018-04-04 10:05:53,非常赞
红***飞,2017-11-28 19:50:57,没见到实物，期待
e***1,2017-12-12 22:46:16,很精美，朋友很喜欢
佐***旧,2017-04-22 12:36:54,送给闺蜜的，她很喜欢！！
豆***窗,2017-05-19 13:08:38,老妈喜欢
l***d,2017-07-01 12:22:25,包装真的让人看了不是很舒服，不知是不是运输途中压歪了，实物比我想象的小很多
j***i,2017-12-22 10:23:39,很漂亮
d***0,2017-04-17 10:28:47,比较精美
l***8,2017-06-20 19:21:12,很精致，就是有点不敢使劲掰怕搞断了
1***r,2017-11-18 18:04:05,很好很棒很有意思
b***8,2016-12-31 12:26:21,美，就一个字
g***a,2017-11-27 11:11:02,很精致，当摆设也好
却***1,2017-12-17 16:41:24,太贵了&hellip;&hellip;
拈***7,2017-11-23 11:32:11,精美的香插，舍不得用，暂时当书签
雨***荷,2017-11-14 17:13:17,挺有特色的礼物，送给老妹儿，开心炸了
x***i,2017-01-18 00:43:56,好小啊，金子也没这么贵吧
m***4,2016-12-25 19:19:42,非常好看！包装特正规。
h***4,2017-03-22 09:27:05,精致
l***i,2018-06-08 14:10:15,样子有些单薄 准备送人的 还没打开
c***j,2017-11-15 10:57:35,很漂亮 就是不太会折
j***o,2018-03-09 20:22:15,非常精美，超爱这种花丝工艺，还没拆包装，先摆在桌上看几天
l***m,2017-06-23 16:51:47,大爱，太精致了！超级喜欢！真是舍不得用呢！客服伶俐也很好，谢谢！之前看网评，有人说包装不够精致，我觉得还不错，不像网评那么差。
t***g,2017-08-25 20:49:30,漂亮，有创意！
t***1,2018-03-07 00:19:44,送给朋友的礼物，她很喜欢，好评！
t***3,2017-06-05 15:33:18,很喜欢 舍不得插香 当书签了
a***a,2018-01-13 10:43:19,此用户没有填写评论!
臧***铭,2018-03-07 18:44:56,很漂亮，赞
r***帝,2018-04-13 11:01:18,佛系
焕***星,2017-04-15 17:40:40,做工精美特别漂亮
小***5,2018-04-10 21:43:25,包装不错，看起来很精致，还没送人，应该会很喜欢
s***g,2017-06-21 16:13:35,此用户没有填写评论!
子***你,2018-02-09 14:34:59,效果好不好暂时不知道，看着挺精致的，感谢故宫文创，希望越来越多好的东西
s***j,2017-06-21 18:14:09,很精致很漂亮
江***风,2018-03-04 14:11:09,设计精美的小礼品！
t***4,2018-06-11 13:55:43,非常美丽！值！
t***雪,2018-01-29 18:34:03,很喜欢
t***6,2018-03-21 12:40:34,书签质感没想象中的好。性价比不高。
猴***0,2018-03-11 17:31:56,箱子好大，漂亮极了，
亦***3,2017-06-23 10:23:13,很精美！
潘***女,2017-11-14 09:53:29,给朋友买的 还挺好的
g***9,2017-03-24 09:45:11,包装很精美，做礼品很有意境！
b***w,2017-10-24 22:53:00,非常美！准备当礼物，感觉没选错
塔***i,2017-07-09 09:12:05,很好看诶 就是不稳
w***t,2017-10-06 14:43:20,用处多做工细，略贵
皇***粽,2017-08-07 17:00:25,超级好看，送给希腊朋友的礼物
华***典,2017-02-14 14:47:28,有点贵
九***7,2017-07-30 17:01:57,漂亮
m***e,2017-01-20 14:00:45,很漂亮！
c***5,2018-02-09 16:18:02,很好看，就是包装简陋了点！
微***薇,2018-01-04 09:43:50,当礼物送朋友的，朋友很喜欢，那应该是挺不错的
a***g,2017-05-10 23:56:54,很美
2***8,2018-03-02 02:19:23,很精致
蘑***丁,2018-02-08 12:09:22,很精致
水***贝,2018-04-03 09:51:36,非常精致，秀美，与期待相符
6***0,2017-10-08 17:07:42,很漂亮，值得
t***0,2017-11-19 22:27:16,东西很好，非常满意，下次还会买的。
h***5,2018-01-17 00:36:32,实物也是美美的！故宫出品果然值得信赖！！！
j***2,2017-02-14 22:06:32,很精致，比想象中的大很多，不大适合做书签。我佛款不太敢用力拉开，怕连接处断掉。
v***夏,2018-01-09 09:46:26,很精致
c***r,2017-05-29 11:20:57,不错 划算
1***l,2017-01-05 13:16:06,买给喜欢的人的圣诞礼物 不知道他喜不喜欢 希望今年可以见到他
c***9,2017-02-28 10:59:49,除了物流慢，但是蛮喜欢故宫文创产品的
智***树,2017-11-20 10:43:05,很好看w
e***1,2017-05-19 15:04:42,很喜欢，特别喜欢
m***4,2017-11-16 23:42:08,非常漂亮
秋***枣,2018-03-11 12:27:31,我换了好几种香都插不进去&hellip;&hellip;
m***9,2016-12-22 17:50:46,第二次买了不错。
懿***e,2017-03-18 18:22:54,此用户没有填写评论!
r***y,2017-04-26 10:47:19,好好一个创意，毁在这么low的包装上也是醉了。这个印刷这个塑封，给一分都嫌多！！送人真心拿不出手。能不能走走心？打着故宫博物院的旗号丢人！失望。
t***凉,2018-03-18 13:25:13,挺好哒，送给小伙伴
a***e,2017-11-06 09:58:41,书签很大，看着就很美。送给老师哒，老师坚持摆在桌面最显眼的地方还不舍得拆封，哈哈哈。
l***l,2017-05-10 11:04:55,东西看起来不错，做工还算精致，也可以实现三种功能。  但是设计再精细一些就更好了，香的插孔只有一种尺寸，香粗了、细了都不行。包装简陋，使用说明不够清晰。故宫文创，本应该可以更好。  物流很快。  客服帮忙修改订单，反应很及时。
a***g,2018-01-24 20:19:42,非常好?
r***l,2017-11-27 14:20:51,送朋友的，创意比较好，一物两用
x***7,2017-04-04 11:51:33,精美
兰***o,2017-10-23 11:52:19,超美，比想象中大。造型美观。
w***6,2016-12-28 11:31:44,比想象的大好多啊，这应该当不了书签吧
暖***阳,2017-09-17 17:34:16,此用户没有填写评论!
d***6,2017-04-25 12:36:57,挺好的
t***0,2017-11-22 09:33:33,看着就好，不必真的打开包装使用。
无***钊,2017-11-21 06:23:07,此用户没有填写评论!
步***恋,2017-02-22 10:51:21,包装很好！非常满意！
t***1,2018-04-12 20:59:58,送给朋友的生日礼物，反馈很精美，很喜欢
金***逸,2017-12-20 12:55:06,这么大的箱子才装了这么点东西。不过看上去，很不错.送人的，还没折起来，先好评吧
k***吗,2017-12-23 10:44:27,物流意外地还算快，外包感觉cheap 了点但是还行吧拿来送人的
青***顾,2017-06-01 07:29:01,送给朋友的没看到实物
y***2,2017-11-25 16:03:43,香插比照片看着更大一点，就是有点薄，怕多折几次就会断，不敢太用力
a***l,2017-02-10 21:40:10,太精美了，都不舍得用了
黑***雅,2018-02-27 21:54:01,买不到宇宙款就买了这一款，很漂亮很喜欢，发货速度快，包装完好，舍不得拆
w***0,2017-05-25 21:13:32,好评！
柏***猫,2018-03-31 16:17:26,买给自己的，不论是包装还是实物都太美了，既能当书签，又能当香插，美！
s***n,2018-01-31 19:08:09,商品很精致，可做烛台可做书签，也可凹造型摆在那里都十分的抢眼！第一次故宫博物院的购物之旅，很愉快！
瞬***了,2018-04-09 09:09:16,好快啊，好快啊
j***j,2018-04-01 20:39:29,很精巧的设计
m***0,2018-03-19 09:03:27,很精致，非常满意
冷***9,2017-11-26 23:09:36,非常美
z***a,2018-01-17 23:25:46,很漂亮。做书签很特别，做香插觉的有点可惜。
c***a,2018-03-10 08:52:24,非常非常漂亮
蘖***念,2017-05-15 17:07:06,作为礼物送的，收的人很喜欢
五***瓜,2017-08-02 12:30:54,收货人很满意，我很满意。
小***6,2018-03-31 13:29:30,好看，喜欢
p***o,2018-02-07 11:13:00,"好,送人很适合"
y***8,2017-08-12 10:59:50,很精致
t***8,2018-03-05 00:41:22,有茶杯垫那么大，准备做书签，做工精细
h***a,2018-01-05 11:39:44,东西已收到，质量不错哦
岭***人,2017-06-08 20:49:49,货品已经收到了，非常满意，有一个有点小瑕疵，卖家也很积极地解决问题了。
风***衿,2018-02-11 13:53:41,不是很大，做工很精美
c***7,2018-02-27 08:19:30,漂亮
x***0,2018-01-29 19:33:17,不错哦！
w***h,2017-12-18 20:20:43,非常喜欢。就是包装太浪费了
w***1,2018-01-15 19:10:10,贼好看啊啊啊啊！什么赞美都没法表达这个物品的精致度啦！超级好看！而且物流很快！我都舍不得用啦！太美了！
i***a,2017-12-20 00:27:22,美貌！送人的，没有拆开试熏香台的形态~
z***r,2017-06-17 23:38:09,速度惊人！我着急用，联系客服换快递，当天就收到了！赞赞赞！
s***q,2018-01-24 21:23:09,送人的，包装比较简单，送人不体面，还好送给好朋友，不那么在乎包装
李***o,2018-01-09 21:40:40,挺好的
c***t,2017-08-29 16:00:20,挺精致的，不舍得折叠。
z***1,2017-12-19 09:55:24,很漂亮
f***e,2017-11-15 12:49:59,书签真心颜值高，不过我打算拿来焚香，扳的时候特别小心担心会断，下次有机会的话想入手另一款香插，就是价钱让我有些肉疼，还附赠了一张明信片，挺有特色的
秋***冻,2018-01-09 18:33:40,美
故***雨,2017-12-28 19:28:02,很漂亮，就是贵了点。
夏***歌,2017-12-31 12:26:47,东西非常好，但我觉得下次快递是否换个小一点的箱子，收到外面的箱子被压扁，里面的包装也坏了。
明***儿,2017-12-06 18:36:58,送人。美人很喜欢。造型优美。
鲜***游,2017-11-19 12:31:50,舍不得掰弯了用，精美！
大***1,2018-04-21 13:43:48,超美的金莲，配上故宫买的杯子，简直不要太好看
z***y,2017-06-20 22:49:30,准备送人的，感觉拿得出手。
b***s,2018-01-27 19:46:59,包装有点单薄，就是纸的，送人的话可能不太适合。拆了塑封，准备自己再包一下。东西本身还挺漂亮的。
可***叶,2017-07-10 12:26:24,这个需要自己瓣造型，很喜欢，点完香擦一下就好，不会黑
l***3,2017-05-14 17:48:49,很棒呢，故宫出品 必数精品。
那***时,2017-11-21 10:59:48,支持故宫文创
叫***董,2017-01-15 11:48:40,东西很好很精致朋友很喜欢
p***2,2018-03-24 09:01:05,五星好评
t***2,2018-02-22 10:50:02,喜欢
梦***雅,2018-01-31 17:02:11,买来准备送人的。包装确实有点&hellip;emmmm打开自己重新装了一次，不过感觉挺好看的。
i***i,2016-12-23 23:52:04,美
t***2,2017-09-25 19:00:30,实物很精巧，非常满意
肉***y,2018-01-16 16:32:33,很漂亮，精致，就是包装还可以更精致点
8***析,2017-11-23 19:56:42,看着很精美，还没用。
王***伦,2018-06-15 21:12:16,相当一般。不喜欢z
豌***萄,2018-01-23 13:02:19,第二次买，送给朋友的小礼物，她非常喜欢！
o***菲,2018-01-05 19:28:43,很美腻
8***年,2017-08-04 15:59:08,还行吧
